count_location,ROAD_CLASS,TRAFFCTL,num_of_collisions,total_traffic,average_int_width,years,r
DUNDAS ST W AT GRACE ST,Major Arterial,Traffic Signal,2,9436.0,0.015,11,0.3519372650708775
BROADVIEW AVE AT WITHROW AVE,Minor Arterial,No Control,5,5892.0,0.015,11,1.4090631505468436
CHICOUTIMI AVE AT LAWRENCE AVE,Major Arterial,No Control,2,13916.0,0.015,11,0.23863754190922684
BREMNER BLVD AT VAN DE WATER CRES EAST LEG (PX 1990),Minor Arterial,Traffic Signal,3,6096.0,0.015,11,0.8171456774627954
BROADVIEW AVE AT QUEEN ST E,Major Arterial,Traffic Signal,15,7604.6,0.015,11,3.2752018842629465
PARK LAWN RD AT PARK LAWN GARDINER W RAMP (PX 1055),None,No Control,2,13552.0,0.015,11,0.24504722795224326
PLAXTON DR AT ST CLAIR AVE (PX 1681),Major Arterial,No Control,6,12219.0,0.015,11,0.8153400523468698
EGLINTON AVE W AT RICHARDSON AVE (PX 466),Major Arterial,No Control,3,13309.0,0.015,11,0.3742820685110227
GRANDRAVINE DR AT JANE ST (PX 962),Major Arterial,Traffic Signal,11,14938.0,0.015,11,1.2227098796792342
SHEPPARD AVE E AT TWYN RIVERS DR,Collector,No Control,7,8238.714285714286,0.015,11,1.4107881051761824
LAWRENCE AVE E AT VALPARAISO AVE (PX 2543),Major Arterial,No Control,5,19765.0,0.015,11,0.4200455392371364
EVANS AVE AT ISLINGTON AVE (PX 775),None,No Control,21,17478.571428571428,0.015,11,1.9949708413636846
STEELES AVE E AT TOWNSEND RD,Major Arterial,Traffic Signal,4,25639.0,0.015,11,0.25904910746977655
ROGERS RD AT SILVERTHORN AVE (PX 801),Minor Arterial,No Control,8,10752.0,0.015,11,1.2354464409258932
DON MILLS RD AT GATEWAY BLVD S & OVERLEA BLVD,Major Arterial,No Control,8,28916.0,0.015,11,0.4593830451250242
BISHOP AVE AT KENNETH AVE,Collector,No Control,2,6470.0,0.015,11,0.5132735754573107
BAYVIEW AVE AT MCKEE AVE (PX 1118),Major Arterial,No Control,9,19572.0,0.015,11,0.7635377145636421
EGLINTON AVE E AT MIDLAND AVE,Major Arterial,Traffic Signal,10,13458.1,0.015,11,1.2337848705273404
FIRGROVE S CRES AT JANE ST & YORKWOODS GT (PX 933),Major Arterial,No Control,3,14032.0,0.015,11,0.35499715292283357
KIPLING AVE AT MARKBROOK LANE,Major Arterial,No Control,3,6859.0,0.015,11,0.7262458156893425
BATHURST ST AT REINER RD,Major Arterial,Stop Sign,9,16756.555555555555,0.015,11,0.8918276849853553
BATHURST ST AT BURTON RD & STRATHEARN RD (PX 308),Major Arterial,No Control,2,19701.0,0.015,11,0.1685640339682656
CARLAW AVE AT LAKE SHORE BLVD E (PX 207),Major Arterial,Traffic Signal,13,32235.30769230769,0.015,11,0.6696297247073649
DANFORTH AVE AT WOODBINE AVE (PX 351),Major Arterial,No Control,5,18289.2,0.015,11,0.453940034721147
BLUE JAYS WAY AT WELLINGTON ST (PX 1682),Collector,Traffic Signal,2,9049.0,0.015,11,0.36698862119668474
DUFFERIN ST AT OVERBROOK PL & STEEPROCK DR (PX 1234),Major Arterial,Traffic Signal,12,27519.833333333332,0.015,11,0.7240334619003072
BATHURST ST AT DUNDAS ST W,Major Arterial,Traffic Signal,16,16370.5,0.015,11,1.6228606496851288
FINCH AVE W AT KIPLING AVE (PX 1570),Major Arterial,No Control,13,13295.0,0.015,11,1.6235968571536068
KIPLING AVE AT LAKE SHORE BLVD (PX 237),Major Arterial,Traffic Signal,9,15202.111111111111,0.015,11,0.9830187426085295
SHERWAY GARDENS RD AT F G GARDINER EXPY W/B OFF RAMP (PX 1871),None,No Control,1,9716.0,0.015,11,0.17089749038744342
DUNDAS ST W AT ST CLARENS AVE,Minor Arterial,Stop Sign,2,7622.0,0.015,11,0.4356966718982945
AUGUST AVE AT DANFORTH AVE,Major Arterial,No Control,6,9872.0,0.015,11,1.0091815335926257
JANE ST AT STONG CT & YORK GATE BLVD (PX 972),Collector,No Control,3,13860.0,0.015,11,0.3594026009966234
BATHURST ST AT MCALLISTER RD,Major Arterial,No Control,4,15892.0,0.015,11,0.41793103866206904
BARTON AVE AT BATHURST ST (PX 304),Major Arterial,No Control,9,19870.0,0.015,11,0.752086570178138
BRIMLEY RD AT MCNICOLL AVE (PX 1510),Major Arterial,No Control,6,20855.0,0.015,11,0.47770990647932876
LAIRD DR AT MILLWOOD RD & SOUTHVALE DR (PX 682),Major Arterial,Traffic Signal,2,21057.0,0.015,11,0.15770907694395214
DUFFERIN ST AT ROSECLIFFE AVE,Major Arterial,No Control,3,12126.0,0.015,11,0.4107966394370115
W R ALLEN RD AT 245M S OF SHEPPARD AVE & TTC ACCESS ONLY(PX 2240),Major Arterial,Traffic Signal,5,29542.0,0.015,11,0.2810304002106155
MILTON ST AT THE QUEENSWAY (PX 2467),Major Arterial,No Control,5,12633.0,0.015,11,0.6571835734205652
RICHMOND ST AT UNIVERSITY AVE (PX 79),Major Arterial,Traffic Signal,11,21079.909090909092,0.015,11,0.8664572557632749
# 3030 BIRCHMOUNT RD AT BIRCHMOUNT RD (NORTH DRIVEWAY),Major Arterial,No Control,3,10644.0,0.015,11,0.467993240305637
3410 MIDLAND AVE,Major Arterial,No Control,16,12766.0,0.015,11,2.081077883884569
JAMESON AVE AT QUEEN ST W,Minor Arterial,No Control,4,9829.0,0.015,11,0.6757310068590497
ELLESMERE RD AT MARKHAM RD,Major Arterial,Traffic Signal,18,31357.055555555555,0.015,11,0.9531481757248071
EARLSCOURT AVE AT ST CLAIR AVE (PX 194),Major Arterial,Traffic Signal,6,7995.0,0.015,11,1.2461088304723453
SHEPPARD AVE AT WILSON HEIGHTS BLVD (PX 631),Major Arterial,Traffic Signal,6,28328.0,0.015,11,0.3516887919947191
HUMBER COLLEGE BLVD AT HUMBERLINE DR (PX 2009),Minor Arterial,Traffic Signal,2,9646.0,0.015,11,0.34427535073696874
DAVENPORT RD AT HAZELTON AVE,Major Arterial,No Control,8,16335.0,0.015,11,0.813193763871148
EAST MALL CRES AT THE EAST MALL (PX 904),Minor Arterial,Traffic Signal,5,13903.0,0.015,11,0.5971516998505358
BAY ST AT GROSVENOR ST (PX 193),Major Arterial,No Control,9,14679.0,0.015,11,1.0180502860848561
KINGSTON RD AT LAWRENCE AVE E,Major Arterial,No Control,13,29359.153846153848,0.015,11,0.7352296435029925
KENNARD AVE AT ALLEN RD & DUFFERIN ST,Major Arterial,No Control,2,26865.0,0.015,11,0.12361362491006143
HIGHWAY 27 AT VICE REGENT BLVD,Other,No Control,7,18255.85714285714,0.015,11,0.636676767641036
KEELE ST AT SHEPPARD AVE W,Major Arterial,No Control,27,24686.333333333332,0.015,11,1.8160607265147575
BELLAMY RD N AT EASTPARK BLVD (PX 2493),Minor Arterial,No Control,4,7004.0,0.015,11,0.9482809917786408
EGLINTON AVE AT YONGE ST (PX 49),Major Arterial,No Control,12,23612.5,0.015,11,0.843844582287043
BLUE JAYS WAY AT NAVY WHARF CRT,Minor Arterial,No Control,5,6027.2,0.015,11,1.3774555486829707
FAWCETT TRL AND HUPFIELD TRL AT SEWELLS RD,Collector,No Control,6,3121.0,0.015,11,3.192130759252292
DUFFERIN ST AT BRIDGELAND AVE & YORKDALE RD (PX 616),Major Arterial,Traffic Signal,7,30233.571428571428,0.015,11,0.38444284174931187
ALLANFORD RD AT SHEPPARD AVE E,Major Arterial,Traffic Signal,11,14992.09090909091,0.015,11,1.2182983876900693
BROADVIEW AVE AT DUNDAS ST E,Major Arterial,Traffic Signal,8,9151.0,0.015,11,1.4515921902344227
QUEENS QUAY AT REES ST & ROBERTSON CRES (PX 2412),Minor Arterial,Traffic Signal,5,7730.6,0.015,11,1.0739399377825785
FINCH AVE E AT MCCOWAN RD (PX 1176),Major Arterial,Traffic Signal,15,21430.0,0.015,11,1.1622305295877742
BRIMLEY RD AT PROGRESS AVE (PX 1072),Major Arterial,Traffic Signal,8,25507.75,0.015,11,0.5207640867122817
CONCORDE PL AT WYNFORD DR & WYNFORD HEIGHTS CRES,Minor Arterial,Traffic Signal,2,9129.0,0.015,11,0.36377259647374305
JONES AVE AT QUEEN ST E (PX 546),Minor Arterial,No Control,7,6192.0,0.015,11,1.8771124218718998
NEILSON RD AT SEWELLS RD & TAPSCOTT RD (PX 1382),Minor Arterial,No Control,3,14404.0,0.015,11,0.34582893986484314
ADELAIDE ST AT UNIVERSITY AVE (PX 78),Major Arterial,No Control,10,24615.0,0.015,11,0.6745642968126753
BIRCHMOUNT RD AT STEELES AVE E,Major Arterial,Traffic Signal,16,29613.0,0.015,11,0.8971411294252661
LAWRENCE AVE AT LEDBURY ST (PX 422),Major Arterial,Traffic Signal,2,16102.0,0.015,11,0.20624022066878653
KINGSTON RD AT SANDOWN AVE,Major Arterial,Traffic Signal,2,17393.0,0.015,11,0.19093198604086703
COURAGE AVE AT JANE ST,Major Arterial,No Control,2,13069.0,0.015,11,0.25410360648931063
KINGSTON RD AT HIGHWAY 401 W/B OFF RAMP (PX 1387),Major Arterial,No Control,4,16794.0,0.015,11,0.39548410541964996
EVANS AVE AT KIPLING AVE (PX 765),None,No Control,7,26080.0,0.015,11,0.4456702498554755
YONGE ST AT ORCHARD VIEW BLVD & ROEHAMPTON AVE (PX 2144),Major Arterial,Stop Sign,6,10474.0,0.015,11,0.9511781649442811
LESMILL RD AT YORK MILLS RD (PX 916),Major Arterial,Traffic Signal,2,25727.0,0.015,11,0.1290815109887978
FOREST HILL RD AT LONSDALE RD,Collector,Stop Sign,2,3931.0,0.015,11,0.844792682067871
AMSTERDAM AVE AT O CONNOR DR,Major Arterial,No Control,3,9566.0,0.015,11,0.5207317635180013
CORONA ST AT LAWRENCE AVE W (PX 2364),Major Arterial,No Control,5,12634.0,0.015,11,0.6571315563576066
FENSIDE DR AT YORK MILLS RD,Major Arterial,Traffic Signal,7,13489.0,0.015,11,0.861670999794707
FINCH AVE AT MILADY RD (PX 2333),Major Arterial,No Control,2,18453.0,0.015,11,0.17996423525761665
ARAGON AVE AT BAY MILLS BLVD & SHEPPARD AVE E,Major Arterial,No Control,9,15652.0,0.015,11,0.9547636180321749
HARNESS RD AT QUEENS PLATE DR,Major Arterial,No Control,3,3797.0,0.015,11,1.3119094152786939
CANON JACKSON DR AT KEELE ST (PX 1075),Major Arterial,Traffic Signal,3,10422.0,0.015,11,0.47796200823385154
NEILSON RD AT OAKMEADOW BLVD (NORTH INTERSECTION),Minor Arterial,No Control,3,12002.0,0.015,11,0.4150408306793202
DANFORTH AVE AT EATON AVE,Major Arterial,No Control,2,12036.0,0.015,11,0.2759122659694916
DUFFERIN ST AT LAPPIN AVE,Major Arterial,No Control,5,10241.0,0.015,11,0.8106825586390002
BAYVIEW AVE AT NESBITT DR (PX 167),Major Arterial,Traffic Signal,2,18366.0,0.015,11,0.18081672836811505
HILLSIDE AVE AT ROYAL YORK RD,Minor Arterial,Stop Sign,6,5042.0,0.015,11,1.9759302061932567
CARLTON ST AT CHURCH ST,Major Arterial,Traffic Signal,5,12046.4,0.015,11,0.6891851576422833
FERN AVE AT RONCESVALLES AVE,Minor Arterial,No Control,3,4664.0,0.015,11,1.0680360312635508
CLYDESDALE DR AT VICTORIA PARK AVE & VICTORIA WOODS GT (PX 1251),Major Arterial,No Control,6,15188.0,0.015,11,0.6559547076393469
BIRCHMOUNT RD AT SHEPPARD AVE E (PX751),Major Arterial,No Control,7,18717.0,0.015,11,0.6209905495662126
FINCH AVE AT YONGE ST (PX 128),Major Arterial,No Control,12,31068.916666666668,0.015,11,0.6413252323223201
STEELES AVE E AT TAPSCOTT RD,Major Arterial,Stop Sign,7,14438.0,0.015,11,0.8050339462689292
PHARMACY AVE AT PRAIRIE DR & TEESDALE PL (PX 1034),Minor Arterial,Traffic Signal,2,7770.0,0.015,11,0.42739768767166025
COMSTOCK RD AT WARDEN AVE (PX 690),Major Arterial,Traffic Signal,11,15145.818181818182,0.015,11,1.2059328828187341
BLAKEMANOR BLVD AT MARKHAM RD (PX 976),Major Arterial,No Control,10,13730.8,0.015,11,1.209281335832144
CARLAW AVE AT DANFORTH AVE (PX 344),Major Arterial,Traffic Signal,10,10481.6,0.015,11,1.584147474244772
KINGSTON RD AT MEADOWVALE RD,Minor Arterial,No Control,2,4993.0,0.015,11,0.6651071566610857
MOUNT PLEASANT RD AT STIBBARD AVE,Major Arterial,No Control,5,12973.0,0.015,11,0.6399599231497727
BATHURST ST AT ST CLAIR AVE (PX 480),Major Arterial,No Control,7,24039.571428571428,0.015,11,0.4834978090506463
LEE AVE AT QUEEN ST E,Minor Arterial,No Control,3,8851.0,0.015,11,0.5627974296478591
DUFFERIN ST AT SPRINGHURST AVE (PX 2375),Local,Traffic Signal,4,8828.0,0.015,11,0.752351616041867
BAYVIEW AVE AT ROSEDALE VALLEY RD (PX 282),Major Arterial,No Control,11,18501.454545454544,0.015,11,0.9872110399631108
BAY ST AT FRONT ST W (PX 59),Major Arterial,Traffic Signal,7,14735.0,0.015,11,0.7888076088381949
DUNDAS ST E AT HILTZ AVE,Minor Arterial,No Control,1,7432.0,0.015,11,0.2234176556249193
LAWRENCE AVE AT WESTON RD (PX 431),Major Arterial,Traffic Signal,18,17275.333333333332,0.015,11,1.730092248999298
BATHURST ST AT RIDGE HILL DR & VESTA DR (PX 918),Major Arterial,Traffic Signal,8,15780.0,0.015,11,0.8417946852240304
MCNICOLL AVE AT PHARMACY AVE (PX 1241),Minor Arterial,Traffic Signal,8,18675.0,0.015,11,0.7112996055065703
FRONT ST E AT LOWER SHERBOURNE ST & SHERBOURNE ST (PX 253),Minor Arterial,Traffic Signal,3,11413.0,0.015,11,0.4364601813557523
BLOOR ST W AT CLENDENAN AVE (PX 330),Major Arterial,Traffic Signal,2,12190.0,0.015,11,0.2724265818875144
PETER ST AT RICHMOND ST (PX 268),Major Arterial,Traffic Signal,3,9894.0,0.015,11,0.503468773985567
JOHN ST AT KING ST W,Major Arterial,Traffic Signal,3,13194.0,0.015,11,0.37754434211105053
AVENUE RD AT HILLHURST BLVD (PX 1770),Major Arterial,No Control,6,16685.0,0.015,11,0.5971015942239377
CEDARVALE AVE AT SAVOY AVE,Collector,Pedestrian Crossover,2,569.0,0.015,11,5.836344522335326
CHURCH ST AT SHUTER ST (PX 20),Minor Arterial,Traffic Signal,2,11794.0,0.015,11,0.28157368434871977
KINGSTON RD AT 2700 KINGSTON RD,Major Arterial,Traffic Signal,4,18388.0,0.015,11,0.3612007867314336
AVENUE RD AT MACPHERSON AVE (SOUTH INTERSECTION),Major Arterial,No Control,4,21262.0,0.015,11,0.3123770137530618
CORBETT AVE AT FLORENCE CRES AND JANE ST,Major Arterial,No Control,2,12822.0,0.015,11,0.2589985987528311
ST CLAIR AVE AT VIA ITALIA (PX 1610),Major Arterial,No Control,7,8271.0,0.015,11,1.4052811167006167
HIGHWAY 27 AT STEELES AVE W,Major Arterial,Traffic Signal,23,26278.782608695652,0.015,11,1.4532682487834918
CHURCH ST AT JANE ST & MAPLE LEAF DR (PX 530),Collector,No Control,9,23650.666666666668,0.015,11,0.6318621102762262
SHEPPARD AVE E AT WARDEN AVE,Major Arterial,Traffic Signal,7,30968.14285714286,0.015,11,0.37532376965091135
CHILTERN HILL RD AT EGLINTON AVE,Major Arterial,No Control,11,18539.0,0.015,11,0.9852117256943957
DUNDAS ST W AT OSSINGTON AVE,Major Arterial,No Control,7,12920.142857142857,0.015,11,0.8996092570141376
STAINES RD AT SEASONS DR,Collector,No Control,2,3501.0,0.015,11,0.9485518518162812
SHEPPARD AVE AT 33M W OF BUCKLAND RD (PX 2090),Major Arterial,No Control,4,12046.0,0.015,11,0.551366434203686
MOUNT PLEASANT RD AT SOUTH DR,Collector,No Control,4,13520.0,0.015,11,0.4912544427823669
ELVASTON DR AT VICTORIA PARK AVE (PX 514),Major Arterial,No Control,3,13698.0,0.015,11,0.36365309167858084
KNOB HILL DR AT OAK ST (PX 1595),Collector,No Control,4,10790.0,0.015,11,0.615547735534532
O CONNOR DR AT WOODMOUNT AVE,Major Arterial,No Control,3,17918.0,0.015,11,0.27800647671688805
CRESCENT RD AT YONGE ST,Major Arterial,Traffic Signal,2,13742.0,0.015,11,0.24165914955674578
HOWARD ST AT SHERBOURNE ST (PX 1458),Minor Arterial,Traffic Signal,3,8822.0,0.015,11,0.5646474778749945
GLENHOLME AVE AT ROGERS RD (PX 1613),Minor Arterial,Traffic Signal,2,6311.0,0.015,11,0.5262050440831565
REESOR RD AT STEELES AVE E (EAST INTERSECTION),Minor Arterial,No Control,6,10464.0,0.015,11,0.9520871654841744
EGLINTON AVE E AT RUMSEY RD (PX 89),Major Arterial,Traffic Signal,6,19132.0,0.015,11,0.5207317635180013
DOVERCOURT RD AT NORTHUMBERLAND ST (PX 2501),Minor Arterial,Stop Sign,2,6536.0,0.015,11,0.5080905803563036
ADELAIDE ST AT SPADINA AVE (PX 274),Major Arterial,Traffic Signal,2,16162.0,0.015,11,0.20547457203370872
FINCH AVE W AT KENDLETON DR,Major Arterial,No Control,2,11122.0,0.015,11,0.2985865881324223
BLOOR ST W AT DUFFERIN ST (PX 325),Major Arterial,Traffic Signal,15,21037.666666666668,0.015,11,1.1839050710186174
MURRAY ROSS PKWY AT STEELES AVE W,Major Arterial,Traffic Signal,4,26873.0,0.015,11,0.24715365111515653
TIPPET RD AT WILSON AVE & WILSON HEIGHTS BLVD (PX 630),Major Arterial,Traffic Signal,6,20146.333333333332,0.015,11,0.4945138122549878
ELM ST AT UNIVERSITY AVE (PX 82),Major Arterial,Traffic Signal,8,24751.0,0.015,11,0.536686199864054
CARLTON ST AT SHERBOURNE ST (PX 260),Minor Arterial,No Control,6,12101.333333333334,0.015,11,0.8232679676861834
FIFTH ST AT LAKE SHORE BLVD (PX 1324),Major Arterial,Traffic Signal,4,8280.0,0.015,11,0.8021449355576813
CLOVERLAWN AVE AT DUFFERIN ST,Major Arterial,No Control,7,10559.0,0.015,11,1.1007747055810968
OLD WESTON RD AT ST CLAIR AVE (PX 492),Major Arterial,Traffic Signal,15,16953.533333333333,0.015,11,1.4691096988080758
MONDOVI GT AT ST CLAIR AVE W (PX 2028),Major Arterial,No Control,7,11854.0,0.015,11,0.9805196656175807
BLOOR ST W AT DURIE ST E,Major Arterial,Stop Sign,2,9988.0,0.015,11,0.33248698770612745
FINCH AVE AT MARTIN GROVE RD (PX 992),Major Arterial,Traffic Signal,7,18570.14285714286,0.015,11,0.6259014917464717
COLLEGE ST AT SHAW ST (PX 2430),Major Arterial,Stop Sign,9,11159.666666666666,0.015,11,1.339104526668025
COSBURN AVE AT COXWELL AVE (PX 666),Minor Arterial,No Control,7,12589.57142857143,0.015,11,0.9232308011575976
OAKDALE RD AT TORBARRIE RD,Collector,No Control,4,7790.0,0.015,11,0.8526007787442362
YONGE ST AT CARLTON ST & COLLEGE ST,Major Arterial,No Control,8,10963.5,0.015,11,1.2116130918808046
KENNEDY RD AT STEELES AVE E,Major Arterial,Traffic Signal,8,33805.5,0.015,11,0.3929396143478192
JARVIS ST AT MAITLAND PL & MAITLAND ST (PX 1733),Major Arterial,Traffic Signal,3,14836.0,0.015,11,0.33575896803809663
CLOVERDALE MALL AT DUNDAS ST & HIGHWAY 427 E TCS (PX 881),Major Arterial,Traffic Signal,15,20759.0,0.015,11,1.1997976901134932
OLD WESTON RD AT ROGERS RD (PX 1470),Minor Arterial,Traffic Signal,14,12994.785714285714,0.015,11,1.7888836910104737
PARLIAMENT ST AT SHUTER ST (PX 247),Minor Arterial,No Control,10,10374.5,0.015,11,1.600501244979903
ELMHURST DR AT ISLINGTON AVE (PX 716),Major Arterial,Traffic Signal,2,16088.0,0.015,11,0.2064196937598707
KIPLING AVE AT TORLAKE CRES,Major Arterial,No Control,2,11959.0,0.015,11,0.27768877274093157
CONWAY AVE AT OAKWOOD AVE,Minor Arterial,Pedestrian Crossover,3,8795.0,0.015,11,0.566380903901444
SYMINGTON AVE AT WALLACE AVE,Local,Stop Sign,2,5106.0,0.015,11,0.6503877855873091
HAINFORD ST AT MANSE RD,Collector,No Control,4,2583.0,0.015,11,2.571335681927062
EGLINTON SQ AT O CONNOR DR & VICTORIA PARK AVE (PX 449),Major Arterial,No Control,8,26917.875,0.015,11,0.49348323865963417
BERNARD AVE AT SPADINA RD (PX 1003),Minor Arterial,Traffic Signal,2,9842.0,0.015,11,0.3374192271092055
LAKE SHORE BLVD AT LESLIE ST (PX 206),Major Arterial,Traffic Signal,6,28539.0,0.015,11,0.349088619069568
MIDLAND AVE AT PRUDENTIAL DR (PX 1701),Major Arterial,Traffic Signal,3,11313.0,0.015,11,0.4403182223824981
DON MILLS RD AT STEELES AVE E,Major Arterial,Traffic Signal,13,34554.0,0.015,11,0.6246952658406322
ELLESMERE RD AT PARKINGTON CRES,Major Arterial,Traffic Signal,5,15157.6,0.015,11,0.5477252390234603
BELLAMY RD N AT EGLINTON AVE E / GO STATION (PX 191),Major Arterial,Traffic Signal,6,14020.5,0.015,11,0.7105766627171927
GLENWOOD CRES AT O CONNOR DR (PX 1836),Major Arterial,Traffic Signal,3,19267.0,0.015,11,0.2585415503095033
STEELES AVE W AT FOUNDERS RD,Major Arterial,No Control,4,22206.0,0.015,11,0.29909754419605517
RICHMOND ST AT SIMCOE ST (PX 2462),Major Arterial,No Control,3,10409.0,0.015,11,0.47855894416497263
MIDDLEFIELD RD AT RICHMOND PARK BLVD (PX 2483),Minor Arterial,No Control,2,10562.0,0.015,11,0.3144177270601023
BRANT ST AT KING ST W,Major Arterial,No Control,9,8195.0,0.015,11,1.8235460829090422
BATHURST ST AT LAKE SHORE BLVD W (PX 216),Major Arterial,Traffic Signal,23,23887.608695652172,0.015,11,1.5987418777858775
DORA SPENCER RD AT WESTON RD,Minor Arterial,Stop Sign,5,8047.6,0.015,11,1.0316367715868084
DAVENPORT RD AT OSSINGTON AVE (PX 386),Minor Arterial,Traffic Signal,7,12212.0,0.015,11,0.951775312498428
DUNDAS ST W AT HOWARD PARK RD & LYND AVE (PX 1935),Minor Arterial,Traffic Signal,2,12112.0,0.015,11,0.27418098028474247
BATHURST ST AT MASCOT PL & STAFFORD RD,Major Arterial,No Control,2,17585.0,0.015,11,0.1888473149393688
RIDGE RD AT WILSON AVE (PX 1795),Major Arterial,Traffic Signal,13,15549.0,0.015,11,1.3882384858098402
MILNER AVE AT CINEMART DR,Collector,No Control,3,7275.0,0.015,11,0.6847175326203712
ISLINGTON AVE AT MILADY RD (PX 1198),Major Arterial,Traffic Signal,5,12622.0,0.015,11,0.6577563051039456
RATHBURN RD AT WEST DEANE PARK DR,Minor Arterial,No Control,2,9689.0,0.015,11,0.3427474489842915
NEILSON RD AT SHEPPARD AVE E,Major Arterial,Traffic Signal,17,23758.29411764706,0.015,11,1.1881105664614258
BLOOR ST W AT LAUREL AVE,Major Arterial,No Control,3,13108.0,0.015,11,0.3800213648011291
GERRARD ST E AT RIVER ST (PX 176),Minor Arterial,Traffic Signal,8,13336.0,0.015,11,0.9960647970032396
IRVING RD AT KEELE ST,Major Arterial,No Control,4,9758.0,0.015,11,0.6806476805101047
LOWTHER AVE AT SPADINA RD (PX 1405),Minor Arterial,Traffic Signal,8,9754.75,0.015,11,1.3617489051831366
FINCH AVE AT SENTINEL RD (PX 808),Major Arterial,Traffic Signal,7,19791.0,0.015,11,0.5872911988394119
DANFORTH AVE AT PAPE AVE (PX 345),Major Arterial,Traffic Signal,9,14346.333333333334,0.015,11,1.0416571121150306
ELLIS AVE AT LAKE SHORE BLVD (PX 228),Major Arterial,No Control,7,34762.0,0.015,11,0.33436166262674194
BROADVIEW AVE AT JACK LAYTON WAY AND SIMPSON AVE,Minor Arterial,No Control,4,8216.0,0.015,11,0.8083933868570595
DUNDAS ST W AT GORE VALE AVE,Major Arterial,No Control,3,9526.0,0.015,11,0.5229183340135629
MORNINGSIDE AVE AT SEWELLS RD (PX 1606),Minor Arterial,No Control,13,11324.923076923076,0.015,11,1.9060368065406705
DENARDA ST AT WESTON RD,Minor Arterial,Stop Sign,2,8344.0,0.015,11,0.39799616888887823
BERKELEY ST AT KING ST E,Major Arterial,Traffic Signal,3,6127.0,0.015,11,0.8130112697589686
ADELAIDE ST AT PETER ST (PX 270),Major Arterial,No Control,2,11447.0,0.015,11,0.2901092018178388
KING ST W AT BLUE JAYS WAY & PETER ST,Major Arterial,Traffic Signal,3,13171.0,0.015,11,0.3782036329673678
BLOOR ST AT PARK RD,Major Arterial,No Control,5,11213.0,0.015,11,0.7404084618765719
FINCH AVE AT KEELE ST (PX 601),Major Arterial,Traffic Signal,5,14963.8,0.015,11,0.5548189686457986
ADELAIDE ST W AT BRANT ST,Major Arterial,Traffic Signal,2,9294.0,0.015,11,0.35731439995790837
ANDERSON AVE AT DUPLEX AVE,Collector,Stop Sign,3,4118.0,0.015,11,1.2096454710571152
KENNETH AVE AT PEMBERTON AVE,Local,No Control,2,4422.0,0.015,11,0.7509905095451832
AVENUE RD AT 30M N OF ELGIN AVE & HAZELTON LANES (PX 107),Major Arterial,No Control,2,15125.0,0.015,11,0.21956231624520994
BLACKBURN ST AT GERRARD ST & ST MATTHEWS RD (PX 2274),None,No Control,9,8542.0,0.015,11,1.7494685260406935
CHESTNUT ST AT DUNDAS ST W,Collector,No Control,8,7543.0,0.015,11,1.7610393918646696
DUNDAS ST E AT RIVER ST (PX 293),Major Arterial,Traffic Controller,3,18251.0,0.015,11,0.27293408853285855
FOXRIDGE AT KENNEDY RD,Major Arterial,No Control,4,6875.0,0.015,11,0.9660741914789237
JANE ST AT NICKLE ST,Major Arterial,No Control,2,15509.0,0.015,11,0.21412599350111552
LAKE SHORE BLVD AT LOWER SHERBOURNE ST & SHERBOURNE ST (PX 203),Major Arterial,No Control,10,19535.5,0.015,11,0.849960337132093
BATHURST ST AT SHEPPARD AVE (PX 672),Major Arterial,Traffic Signal,13,25743.46153846154,0.015,11,0.8384933076543517
BROADVIEW AVE AT EASTERN AVE DIVERSION,Major Arterial,Traffic Signal,5,14758.0,0.015,11,0.5625559075092831
EGLINTON AVE E AT SUTHERLAND DR (PX 1648),Major Arterial,Traffic Signal,4,12025.0,0.015,11,0.5523293194526071
DUPONT ST AT SHAW ST,Major Arterial,No Control,3,11143.0,0.015,11,0.44703581170359874
EGLINTON AVE W AT KIPLING AVE,Major Arterial,No Control,12,26678.0,0.015,11,0.7468805832241099
EVANS AVE AT ROYAL YORK RD,Minor Arterial,Traffic Signal,11,11290.636363636364,0.015,11,1.617698028206256
DAVENPORT RD AT LANSDOWNE AVE (PX 389),Minor Arterial,Traffic Signal,5,13773.8,0.015,11,0.6027530589250607
DUFFERIN ST AT GEARY AVE,Major Arterial,No Control,6,12867.0,0.015,11,0.7742783943130801
THE EAST MALL AT WEST DEANE PARK DR,Minor Arterial,No Control,1,4381.0,0.015,11,0.379009362384022
FIRWOOD CRES AT KIPLING AVE AND CHURCH DRIVEWAY ON THE EAST,Major Arterial,Stop Sign,2,7004.0,0.015,11,0.4741404958893204
BYNG AVE AT DORIS AVE (PX 2192),Minor Arterial,Traffic Signal,6,7051.0,0.015,11,1.4129400226388316
STEELES AVE W AT WESTON RD,Major Arterial,Traffic Signal,9,28546.333333333332,0.015,11,0.5234984113350087
ARNCLIFFE CR AT VICTORIA PARK AVE (PX 1585),Major Arterial,Traffic Signal,4,15739.0,0.015,11,0.42199377764899937
FRONT ST W AT LOWER SIMCOE ST & SIMCOE ST (PX 263),Minor Arterial,Traffic Signal,4,11929.0,0.015,11,0.5567742531995642
LAURELEAF RD AT STEELES AVE E,Major Arterial,Traffic Signal,7,21204.0,0.015,11,0.5481550705636107
JOHN ST AT RICHMOND ST (PX 269),Major Arterial,No Control,2,12167.0,0.015,11,0.2729415659742583
