count_location,ROAD_CLASS,TRAFFCTL,num_of_collisions,total_traffic,average_int_width,years,r
MOUNT ROYAL AVE AT REGAL RD,Local,Stop Sign,10,545.0,0.015,11,30.46678929549358
IDAGROVE GT AT SHEPPARD AVE E,Major Arterial,Traffic Signal,6,7187.0,0.015,11,1.3862028801483792
RIMROCK RD AT W R ALLEN RD (PX 1997),Major Arterial,Traffic Signal,5,23944.0,0.015,11,0.3467340495749249
ELLESMERE RD AT DORMINGTON DR & GANDER DR,Major Arterial,Traffic Signal,4,13956.0,0.015,11,0.4759071414744627
ADELAIDE ST W AT BATHURST ST,Major Arterial,No Control,5,18754.0,0.015,11,0.44268956398752274
ELANA DR AT FINCH AVE & YORK GATE BLVD (PX 1590),Major Arterial,No Control,7,26316.14285714286,0.015,11,0.4416711134046761
F G GARDINER EXPY W/B OFF RAMP AT KIPLING AVE (PX 1890),None,No Control,17,24299.0,0.015,11,1.1616725084272934
MOULD AVE AT ST CLAIR AVE W (PX 2024),Major Arterial,Traffic Signal,2,13111.0,0.015,11,0.25328960668208383
CARLAW AVE AT QUEEN ST E (PX 545),Minor Arterial,Traffic Signal,8,9806.0,0.015,11,1.354631871592413
BEECROFT RD AT SHEPPARD AVE (PX 1169),Major Arterial,Traffic Signal,3,23518.0,0.015,11,0.21180882939931972
DUFFERIN ST AT HALLAM ST (PX 607),Major Arterial,No Control,3,12476.0,0.015,11,0.39927220662176993
TAPSCOTT RD AT WASHBURN WAY & MALVERN TOWN CENTRE (PX 1708),Minor Arterial,Traffic Signal,5,6172.0,0.015,11,1.345139352401491
QUEEN ST W AT GLADSTONE AVE & SUDBURY ST,Major Arterial,Traffic Signal,4,10938.0,0.015,11,0.6072188760667033
BATHURST ST AT QUEEN ST W,Major Arterial,No Control,15,16617.4,0.015,11,1.4988265462145702
CARDELL AVE AT WESTON RD (PX 2067),Major Arterial,No Control,2,13500.0,0.015,11,0.24599111357102224
COSBURN AVE AT PAPE AVE (PX 669),Major Arterial,Traffic Signal,10,10145.0,0.015,11,1.6367077541689503
DON MILLS RD AT THE DONWAY N,Major Arterial,Traffic Signal,3,12167.0,0.015,11,0.40941234896138745
QUEEN ST W AT RYERSON AVE,Major Arterial,No Control,5,10248.0,0.015,11,0.8101288137218972
BLOOR ST W AT RESURRECTION RD,Major Arterial,Traffic Signal,3,13017.0,0.015,11,0.3826780402407007
BRIDLETOWNE CRCL N AT WARDEN AVE (PX 1263),Major Arterial,Traffic Signal,2,17143.0,0.015,11,0.19371638763394972
AVENUE RD AT LAWRENCE AVE W (PX 119),Major Arterial,Traffic Signal,7,29563.571428571428,0.015,11,0.39315548002423645
BRINLOOR BLVD AT KINGSTON RD,Major Arterial,Stop Sign,5,21006.0,0.015,11,0.3952299382567839
ALLIANCE AVE AT CLIFF ST AND HUMBER BLVD N,Collector,Pedestrian Crossover,6,5911.0,0.015,11,1.6854407206270345
JANE ST AT PRITCHARD AVE (PX 1571),Major Arterial,No Control,7,12087.0,0.015,11,0.9616182771763715
GENTIAN DR AT RENFORTH DR,Minor Arterial,No Control,2,7291.0,0.015,11,0.45547661955956664
GUNNS RD AT ST CLAIR AVE (PX 1404),Major Arterial,Traffic Signal,9,13666.777777777777,0.015,11,1.0934516088890043
NIAGARA ST AT QUEEN ST W,Major Arterial,Traffic Signal,4,11816.0,0.015,11,0.5620988546392689
EGLINTON AVE W AT SCARLETT RD (PX 784),Major Arterial,Traffic Signal,20,26825.6,0.015,11,1.2379518196084338
OCONNOR DR AT WOODBINE AVE (PX 446),Major Arterial,Traffic Signal,7,25910.428571428572,0.015,11,0.4485869496210329
BROOKHAVEN DR AT LAWRENCE AVE (PX 2108),Major Arterial,Traffic Signal,7,12521.0,0.015,11,0.9282868873277537
DAVENPORT RD AT FOUNDRY AVE,Minor Arterial,No Control,4,13618.0,0.015,11,0.4877192000600382
BEARE RD AT STEELES AVE E,Minor Arterial,No Control,3,10019.0,0.015,11,0.49718734901818545
BERGAMOT AVE AT ISLINGTON AVE (PX 715),Major Arterial,Traffic Signal,9,17257.0,0.015,11,0.8659651242649129
BATHURST ST AT GREENWIN VILLAGE RD (PX 1399),Collector,No Control,4,17528.5,0.015,11,0.37891206129546745
ISLINGTON AVE AT LEMSFORD RD & WESTHAMPTON DR,Local,Stop Sign,2,20786.0,0.015,11,0.15976522819247574
STEELES AVE E AT WARDEN AVE,Major Arterial,Traffic Signal,6,36148.333333333336,0.015,11,0.27560441052034856
BEECHBOROUGH AVE AT KEELE ST (PX 591),Major Arterial,Stop Sign,2,11411.0,0.015,11,0.29102445300226104
SHEPPARD AVE E AT VICTORIA PARK AVE,Major Arterial,Traffic Signal,12,29937.166666666668,0.015,11,0.6655700060433062
ALBION RD AT ISLINGTON AVE (PX 717),Major Arterial,Traffic Signal,20,27754.95,0.015,11,1.196500095733842
DORIS AVE AT NORTHTOWN WAY,Minor Arterial,No Control,2,7556.0,0.015,11,0.4395023866078349
FINCH AVE E AT KENNEDY RD (PX 1021),Major Arterial,Traffic Signal,9,28373.0,0.015,11,0.5266965125097665
PHARMACY AVE AT SHEPPARD AVE E,Major Arterial,No Control,7,19034.0,0.015,11,0.6106483196506673
COSENTINO DR AT MIDLAND AVE,Major Arterial,No Control,6,13564.0,0.015,11,0.7344913078462402
KING ST W AT STRACHAN AVE,Major Arterial,No Control,4,12231.0,0.015,11,0.5430267407748837
BERKELEY ST AND HAHN PL AT THE ESPLANADE,Collector,Traffic Signal,3,2267.0,0.015,11,2.197318063437671
CARLAW AVE AT GERRARD ST E (PX 372),Minor Arterial,Traffic Signal,15,12927.0,0.015,11,1.9267115532657233
ELLESMERE RD AT PARKWOODS VILLAGE DR & VICTORIA PARK AVE,Major Arterial,Traffic Signal,9,28942.333333333332,0.015,11,0.5163357071915281
STEELES AVE W AT STEINWAY BLVD,Major Arterial,No Control,8,16310.0,0.015,11,0.8144402288678848
ISLINGTON AVE AT STEELES AVE W,Major Arterial,No Control,17,29619.29411764706,0.015,11,0.9530098918007969
LAKE SHORE BLVD AT TENTH ST (PX 236),Major Arterial,Stop Sign,7,7848.0,0.015,11,1.4810244796420493
ANGLESEY BLVD AT ROYAL YORK RD,Minor Arterial,No Control,3,11171.0,0.015,11,0.4459153209035181
FLEET ST AT FORT YORK BLVD (PX 1918),Minor Arterial,Traffic Signal,2,7407.0,0.015,11,0.44834346337367365
STEELES AVE AT YONGE ST,Major Arterial,Traffic Signal,13,31064.0,0.015,11,0.6948789665161346
FINCH AVE AT NORFINCH DR & OAKDALE RD (PX 870),Major Arterial,Traffic Signal,10,34509.2,0.015,11,0.481158652360646
DUFFERIN ST AT FINCH AVE (PX 618),Major Arterial,Traffic Signal,12,36786.333333333336,0.015,11,0.5416489873753695
LAWRENCE AVE E AT VICTORIA PARK AVE,Major Arterial,No Control,8,37669.625,0.015,11,0.35263213087030204
YONGE ST AT SHAFTESBURY AVE,Major Arterial,Traffic Signal,4,9121.0,0.015,11,0.7281833205150313
BEECROFT RD AT NORTH YORK BLVD (PX 1978),Minor Arterial,Stop Sign,5,11628.0,0.015,11,0.71398349527193
BATHURST ST AT DEWLANE DR & ROCKFORD RD (PX 677),Major Arterial,No Control,5,20244.6,0.015,11,0.4100945478311254
ALEXANDER ST AT CHURCH ST (PX 1480),Minor Arterial,No Control,2,9282.0,0.015,11,0.35777634488351656
DUPLEX AVE AT EGLINTON AVE W,Major Arterial,No Control,9,8895.0,0.015,11,1.6800404889757843
FINCH AVE AT MORNINGSIDE AVE & STAINES RD (PX 2046),Local,No Control,8,11340.125,0.015,11,1.171373343136447
DUPONT ST AT SYMINGTON AVE (PX 845),Major Arterial,No Control,8,13023.375,0.015,11,1.0199752470335226
BATHURST ST AT LAWRENCE AVE (PX 423),Major Arterial,Traffic Signal,8,27720.25,0.015,11,0.4791991462138762
WEDGEWOOD DR AT YONGE ST,Major Arterial,Stop Sign,6,25384.0,0.015,11,0.392477154886007
DAVENPORT RD AT SPADINA RD,Minor Arterial,Traffic Signal,4,8319.0,0.015,11,0.798384429188316
HIGHWAY 401 N TCS AT YONGE ST (PX 639),Major Arterial,No Control,3,41758.333333333336,0.015,11,0.11928924485683179
JAMESON AVE AT SPRINGHURST AVE,Minor Arterial,Stop Sign,5,12157.0,0.015,11,0.6829151997221355
OVERLEA BLVD AT THORNCLIFFE PARK DR E,Major Arterial,Traffic Signal,10,18399.1,0.015,11,0.90245719443038
FINCH AVE AT HIGHWAY 400 W TCS (PX 1095),Major Arterial,Traffic Signal,14,39165.57142857143,0.015,11,0.5935355820061761
GRANDRAVINE DR AT KEELE ST (PX 633),Major Arterial,No Control,7,11578.0,0.015,11,1.0038936013327693
